Target,Test_MAE,Test_RMSE,Test_MAPE,Test_R2
NAV_15D,20.226818084716797,173.6070680084771,4.504501,0.5465994477272034
NAV_30D,20.092573165893555,174.7969972121232,5.4038916,0.5446960926055908
NAV_90D,19.647062301635742,173.2164638808188,3.9298482,0.5682699680328369
NAV_180D,22.853208541870117,182.60200488357185,5.5273695,0.5432482957839966
NAV_270D,25.446182250976562,186.0895596715463,7.255716,0.5460748672485352
NAV_365D,25.69403648376465,191.28374906470754,5.96994,0.5407518744468689
NAV_730D,40.470726013183594,221.76865409137514,16.24909,0.49433261156082153
NAV_1095D,29.730762481689453,208.45432840612833,6.2799788,0.6434388756752014
