Date,Commodity,Ticker,Adj Close,Close,High,Low,Open,Volume
2023-07-25,Copper,HG=F,3.901999950408936,3.901999950408936,3.921999931335449,3.872499942779541,3.872499942779541,941
2023-07-26,Copper,HG=F,3.890500068664551,3.890500068664551,3.8949999809265137,3.871500015258789,3.871500015258789,795
2023-07-27,Copper,HG=F,3.8635001182556152,3.8635001182556152,3.8635001182556152,3.8635001182556152,3.8635001182556152,544
2023-07-28,Copper,HG=F,3.9170000553131104,3.9170000553131104,3.920500040054321,3.880500078201294,3.880500078201294,1510
2023-07-31,Copper,HG=F,3.994499921798706,3.994499921798706,4.000999927520752,3.921000003814697,3.921000003814697,1430
2023-08-01,Copper,HG=F,3.8935000896453857,3.8935000896453857,4.002500057220459,3.8935000896453857,4.002500057220459,1186
2023-08-02,Copper,HG=F,3.827500104904175,3.827500104904175,3.869999885559082,3.82699990272522,3.869999885559082,1122
2023-08-03,Copper,HG=F,3.875999927520752,3.875999927520752,3.875999927520752,3.825000047683716,3.828000068664551,1055
2023-08-04,Copper,HG=F,3.8450000286102295,3.8450000286102295,3.8450000286102295,3.803499937057495,3.830499887466431,457
2023-08-07,Copper,HG=F,3.812999963760376,3.812999963760376,3.812999963760376,3.803999900817871,3.806999921798706,480
2023-08-08,Copper,HG=F,3.747999906539917,3.747999906539917,3.7799999713897705,3.7084999084472656,3.7799999713897705,706
2023-08-09,Copper,HG=F,3.767499923706055,3.767499923706055,3.796999931335449,3.76200008392334,3.796999931335449,570
2023-08-10,Copper,HG=F,3.750999927520752,3.750999927520752,3.811500072479248,3.740000009536743,3.7890000343322754,668
2023-08-11,Copper,HG=F,3.714499950408936,3.714499950408936,3.7200000286102295,3.690000057220459,3.7200000286102295,753
2023-08-14,Copper,HG=F,3.724499940872192,3.724499940872192,3.7260000705718994,3.704499959945679,3.72350001335144,540
2023-08-15,Copper,HG=F,3.661499977111816,3.661499977111816,3.6875,3.6530001163482666,3.6760001182556152,620
2023-08-16,Copper,HG=F,3.65149998664856,3.65149998664856,3.677500009536743,3.65149998664856,3.661999940872192,671
2023-08-17,Copper,HG=F,3.685499906539917,3.685499906539917,3.686000108718872,3.674499988555908,3.685499906539917,524
2023-08-18,Copper,HG=F,3.6989998817443848,3.6989998817443848,3.700000047683716,3.686500072479248,3.694000005722046,299
2023-08-21,Copper,HG=F,3.711999893188477,3.711999893188477,3.7190001010894775,3.701499938964844,3.7190001010894775,320
2023-08-22,Copper,HG=F,3.750499963760376,3.750499963760376,3.759000062942505,3.736999988555908,3.746000051498413,381
2023-08-23,Copper,HG=F,3.803499937057495,3.803499937057495,3.806999921798706,3.795000076293945,3.795000076293945,317
2023-08-24,Copper,HG=F,3.767499923706055,3.767499923706055,3.7815001010894775,3.765000104904175,3.7815001010894775,472
2023-08-25,Copper,HG=F,3.759999990463257,3.759999990463257,3.795500040054321,3.759999990463257,3.795500040054321,251
2023-08-28,Copper,HG=F,3.753999948501587,3.753999948501587,3.767999887466431,3.753999948501587,3.766499996185303,549
2023-08-29,Copper,HG=F,3.7929999828338623,3.7929999828338623,3.7929999828338623,3.788000106811523,3.7904999256134033,29529
2023-08-30,Copper,HG=F,3.785000085830689,3.785000085830689,3.795000076293945,3.763499975204468,3.7925000190734863,7893
2023-08-31,Copper,HG=F,3.7725000381469727,3.7725000381469727,3.7925000190734863,3.75,3.788000106811523,2069
2023-09-01,Copper,HG=F,3.8125,3.8125,3.861999988555908,3.78600001335144,3.7920000553131104,822
2023-09-05,Copper,HG=F,3.811000108718872,3.811000108718872,3.811000108718872,3.766499996185303,3.806999921798706,944
2023-09-06,Copper,HG=F,3.748500108718872,3.748500108718872,3.803499937057495,3.743499994277954,3.799000024795532,837
2023-09-07,Copper,HG=F,3.7260000705718994,3.7260000705718994,3.753999948501587,3.703999996185303,3.753999948501587,787
2023-09-08,Copper,HG=F,3.680500030517578,3.680500030517578,3.713500022888184,3.6760001182556152,3.713500022888184,1120
2023-09-11,Copper,HG=F,3.7699999809265137,3.7699999809265137,3.774499893188477,3.702500104904175,3.702500104904175,846
2023-09-12,Copper,HG=F,3.752000093460083,3.752000093460083,3.763000011444092,3.736000061035156,3.762500047683716,460
2023-09-13,Copper,HG=F,3.75600004196167,3.75600004196167,3.763000011444092,3.746000051498413,3.749500036239624,509
2023-09-14,Copper,HG=F,3.7825000286102295,3.7825000286102295,3.799999952316284,3.760999917984009,3.799999952316284,545
2023-09-15,Copper,HG=F,3.763499975204468,3.763499975204468,3.805500030517578,3.756999969482422,3.805500030517578,556
2023-09-18,Copper,HG=F,3.741499900817871,3.741499900817871,3.744999885559082,3.733000040054321,3.744999885559082,674
2023-09-19,Copper,HG=F,3.71399998664856,3.71399998664856,3.71399998664856,3.700000047683716,3.7100000381469727,717
2023-09-20,Copper,HG=F,3.746500015258789,3.746500015258789,3.746500015258789,3.7079999446868896,3.733500003814697,842
2023-09-21,Copper,HG=F,3.6665000915527344,3.6665000915527344,3.7184998989105225,3.609999895095825,3.7079999446868896,628
2023-09-22,Copper,HG=F,3.6654999256134033,3.6654999256134033,3.686500072479248,3.6654999256134033,3.686500072479248,586
2023-09-25,Copper,HG=F,3.649499893188477,3.649499893188477,3.6659998893737793,3.6489999294281006,3.6635000705718994,1582
2023-09-26,Copper,HG=F,3.625,3.625,3.6435000896453857,3.619999885559082,3.619999885559082,702
2023-09-27,Copper,HG=F,3.627000093460083,3.627000093460083,3.627000093460083,3.619499921798706,3.619999885559082,1228
2023-09-28,Copper,HG=F,3.694499969482422,3.694499969482422,3.697499990463257,3.615999937057495,3.625499963760376,935
2023-09-29,Copper,HG=F,3.7260000705718994,3.7260000705718994,3.766499996185303,3.7174999713897705,3.73799991607666,815
2023-10-02,Copper,HG=F,3.631999969482422,3.631999969482422,3.692500114440918,3.631500005722046,3.692500114440918,621
2023-10-03,Copper,HG=F,3.615499973297119,3.615499973297119,3.631500005722046,3.6059999465942383,3.631500005722046,525
2023-10-04,Copper,HG=F,3.5840001106262207,3.5840001106262207,3.611500024795532,3.570499897003174,3.611500024795532,395
2023-10-05,Copper,HG=F,3.546999931335449,3.546999931335449,3.575999975204468,3.546999931335449,3.565999984741211,376
2023-10-06,Copper,HG=F,3.624500036239624,3.624500036239624,3.631999969482422,3.555999994277954,3.555999994277954,326
2023-10-09,Copper,HG=F,3.642499923706055,3.642499923706055,3.6540000438690186,3.642499923706055,3.642999887466431,318
2023-10-10,Copper,HG=F,3.631999969482422,3.631999969482422,3.631999969482422,3.595499992370605,3.595499992370605,331
2023-10-11,Copper,HG=F,3.614000082015991,3.614000082015991,3.614000082015991,3.614000082015991,3.614000082015991,433
2023-10-12,Copper,HG=F,3.594000101089477,3.594000101089477,3.618000030517578,3.5855000019073486,3.618000030517578,349
2023-10-13,Copper,HG=F,3.5799999237060547,3.5799999237060547,3.595000028610229,3.572499990463257,3.594500064849853,388
2023-10-16,Copper,HG=F,3.586999893188477,3.586999893188477,3.5899999141693115,3.5820000171661377,3.5820000171661377,298
2023-10-17,Copper,HG=F,3.575500011444092,3.575500011444092,3.575500011444092,3.5450000762939453,3.5450000762939453,375
2023-10-18,Copper,HG=F,3.5820000171661377,3.5820000171661377,3.608000040054321,3.5785000324249268,3.608000040054321,340
2023-10-19,Copper,HG=F,3.5915000438690186,3.5915000438690186,3.5915000438690186,3.5739998817443848,3.5739998817443848,418
2023-10-20,Copper,HG=F,3.5420000553131104,3.5420000553131104,3.566999912261963,3.5364999771118164,3.566999912261963,760
2023-10-23,Copper,HG=F,3.572999954223633,3.572999954223633,3.572999954223633,3.5299999713897705,3.5299999713897705,387
2023-10-24,Copper,HG=F,3.609999895095825,3.609999895095825,3.61899995803833,3.549999952316284,3.549999952316284,645
2023-10-25,Copper,HG=F,3.572000026702881,3.572000026702881,3.5924999713897705,3.569999933242798,3.5924999713897705,501
2023-10-26,Copper,HG=F,3.56850004196167,3.56850004196167,3.5789999961853027,3.563999891281128,3.5789999961853027,556
2023-10-27,Copper,HG=F,3.634000062942505,3.634000062942505,3.634999990463257,3.63100004196167,3.634999990463257,847
2023-10-30,Copper,HG=F,3.649499893188477,3.649499893188477,3.6989998817443848,3.635499954223633,3.635499954223633,665
2023-10-31,Copper,HG=F,3.641499996185303,3.641499996185303,3.649499893188477,3.630000114440918,3.6465001106262207,771
2023-11-01,Copper,HG=F,3.6449999809265137,3.6449999809265137,3.678999900817871,3.635999917984009,3.6484999656677246,546
2023-11-02,Copper,HG=F,3.6670000553131104,3.6670000553131104,3.676500082015991,3.6579999923706055,3.6579999923706055,412
2023-11-03,Copper,HG=F,3.674499988555908,3.674499988555908,3.69350004196167,3.663000106811523,3.69350004196167,357
2023-11-06,Copper,HG=F,3.7095000743865967,3.7095000743865967,3.7100000381469727,3.705499887466431,3.7074999809265137,368
2023-11-07,Copper,HG=F,3.670000076293945,3.670000076293945,3.676500082015991,3.640000104904175,3.658499956130981,313
2023-11-08,Copper,HG=F,3.628000020980835,3.628000020980835,3.6470000743865967,3.628000020980835,3.6470000743865967,435
2023-11-09,Copper,HG=F,3.634999990463257,3.634999990463257,3.6435000896453857,3.609999895095825,3.619999885559082,363
2023-11-10,Copper,HG=F,3.5834999084472656,3.5834999084472656,3.624500036239624,3.5834999084472656,3.624000072479248,493
2023-11-13,Copper,HG=F,3.662499904632568,3.662499904632568,3.662499904632568,3.6440000534057617,3.6440000534057617,575
2023-11-14,Copper,HG=F,3.682499885559082,3.682499885559082,3.703000068664551,3.682499885559082,3.703000068664551,762
2023-11-15,Copper,HG=F,3.7174999713897705,3.7174999713897705,3.7204999923706055,3.67549991607666,3.678499937057495,383
2023-11-16,Copper,HG=F,3.704499959945679,3.704499959945679,3.704499959945679,3.693000078201294,3.693000078201294,338
2023-11-17,Copper,HG=F,3.737499952316284,3.737499952316284,3.737499952316284,3.686500072479248,3.686500072479248,493
2023-11-20,Copper,HG=F,3.8125,3.8125,3.8125,3.748500108718872,3.75,377
2023-11-21,Copper,HG=F,3.814500093460083,3.814500093460083,3.814500093460083,3.79800009727478,3.810499906539917,466
2023-11-22,Copper,HG=F,3.766499996185303,3.766499996185303,3.7799999713897705,3.759999990463257,3.7799999713897705,596
2023-11-23,Copper,HG=F,3.7790000438690186,3.7790000438690186,3.7790000438690186,3.7695000171661377,3.7695000171661377,596
2023-11-24,Copper,HG=F,3.796499967575073,3.796499967575073,3.796499967575073,3.7695000171661377,3.7695000171661377,373
2023-11-27,Copper,HG=F,3.762500047683716,3.762500047683716,3.7815001010894775,3.755000114440918,3.7815001010894775,435
2023-11-28,Copper,HG=F,3.8010001182556152,3.8010001182556152,3.8010001182556152,3.755000114440918,3.755000114440918,32871
2023-11-29,Copper,HG=F,3.78600001335144,3.78600001335144,3.822000026702881,3.7730000019073486,3.808000087738037,6653
2023-11-30,Copper,HG=F,3.828999996185303,3.828999996185303,3.839999914169312,3.784499883651733,3.799999952316284,2571
2023-12-01,Copper,HG=F,3.908999919891357,3.908999919891357,3.910000085830689,3.829999923706055,3.837500095367432,2050
2023-12-04,Copper,HG=F,3.820499897003174,3.820499897003174,3.8965001106262207,3.812000036239624,3.8959999084472656,963
2023-12-05,Copper,HG=F,3.7725000381469727,3.7725000381469727,3.822999954223633,3.759000062942505,3.812000036239624,971
2023-12-06,Copper,HG=F,3.7165000438690186,3.7165000438690186,3.809000015258789,3.713000059127808,3.7730000019073486,551
2023-12-07,Copper,HG=F,3.784499883651733,3.784499883651733,3.785500049591065,3.7160000801086426,3.7160000801086426,721
2023-12-08,Copper,HG=F,3.819999933242798,3.819999933242798,3.8510000705718994,3.78600001335144,3.78600001335144,421
2023-12-11,Copper,HG=F,3.7799999713897705,3.7799999713897705,3.7885000705718994,3.767499923706055,3.783999919891357,723
2023-12-12,Copper,HG=F,3.78600001335144,3.78600001335144,3.796999931335449,3.7715001106262207,3.7804999351501465,808
2023-12-13,Copper,HG=F,3.78600001335144,3.78600001335144,3.8320000171661377,3.755000114440918,3.788000106811523,679
2023-12-14,Copper,HG=F,3.888499975204468,3.888499975204468,3.8989999294281006,3.869999885559082,3.884999990463257,1003
2023-12-15,Copper,HG=F,3.884999990463257,3.884999990463257,3.891000032424927,3.864000082015991,3.871500015258789,853
2023-12-18,Copper,HG=F,3.848000049591065,3.848000049591065,3.848000049591065,3.848000049591065,3.848000049591065,464
2023-12-19,Copper,HG=F,3.8959999084472656,3.8959999084472656,3.920000076293945,3.8959999084472656,3.900000095367432,701
2023-12-20,Copper,HG=F,3.90149998664856,3.90149998664856,3.927000045776367,3.874000072479248,3.90149998664856,638
2023-12-21,Copper,HG=F,3.908499956130981,3.908499956130981,3.9154999256134033,3.9075000286102295,3.9075000286102295,781
2023-12-22,Copper,HG=F,3.8954999446868896,3.8954999446868896,3.919500112533569,3.891999959945679,3.9144999980926514,547
2023-12-26,Copper,HG=F,3.8954999446868896,3.8954999446868896,3.927000045776367,3.891999959945679,3.923500061035156,525
2023-12-27,Copper,HG=F,3.94350004196167,3.94350004196167,3.94350004196167,3.92300009727478,3.92300009727478,1283
2023-12-28,Copper,HG=F,3.913000106811523,3.913000106811523,3.9489998817443848,3.9030001163482666,3.9489998817443848,940
2023-12-29,Copper,HG=F,3.880500078201294,3.880500078201294,3.913000106811523,3.869999885559082,3.913000106811523,349
2024-01-02,Copper,HG=F,3.86899995803833,3.86899995803833,3.901999950408936,3.8559999465942383,3.882499933242798,879
2024-01-03,Copper,HG=F,3.847500085830689,3.847500085830689,3.861999988555908,3.829499959945679,3.837500095367432,395
2024-01-04,Copper,HG=F,3.8310000896453857,3.8310000896453857,3.8559999465942383,3.811500072479248,3.8550000190734863,389
2024-01-05,Copper,HG=F,3.794500112533569,3.794500112533569,3.839499950408936,3.7929999828338623,3.8324999809265137,413
2024-01-08,Copper,HG=F,3.799499988555908,3.799499988555908,3.813499927520752,3.7799999713897705,3.796999931335449,406
2024-01-09,Copper,HG=F,3.748500108718872,3.748500108718872,3.788000106811523,3.747999906539917,3.787499904632568,409
2024-01-10,Copper,HG=F,3.7809998989105225,3.7809998989105225,3.783999919891357,3.757999897003174,3.757999897003174,650
2024-01-11,Copper,HG=F,3.77649998664856,3.77649998664856,3.7934999465942383,3.77649998664856,3.7929999828338623,292
2024-01-12,Copper,HG=F,3.740000009536743,3.740000009536743,3.7925000190734863,3.740000009536743,3.786999940872192,430
2024-01-16,Copper,HG=F,3.766499996185303,3.766499996185303,3.775000095367432,3.763000011444092,3.763000011444092,295
2024-01-17,Copper,HG=F,3.732500076293945,3.732500076293945,3.747999906539917,3.7295000553131104,3.734999895095825,319
2024-01-18,Copper,HG=F,3.744999885559082,3.744999885559082,3.744999885559082,3.7200000286102295,3.7274999618530273,289
2024-01-19,Copper,HG=F,3.786999940872192,3.786999940872192,3.788000106811523,3.762500047683716,3.762500047683716,264
2024-01-22,Copper,HG=F,3.763999938964844,3.763999938964844,3.767499923706055,3.76200008392334,3.76200008392334,493
2024-01-23,Copper,HG=F,3.7904999256134033,3.7904999256134033,3.796000003814697,3.785500049591065,3.796000003814697,401
2024-01-24,Copper,HG=F,3.882499933242798,3.882499933242798,3.884999990463257,3.796999931335449,3.802500009536743,523
2024-01-25,Copper,HG=F,3.865499973297119,3.865499973297119,3.865499973297119,3.859999895095825,3.862499952316284,413
2024-01-26,Copper,HG=F,3.850500106811523,3.850500106811523,3.869499921798706,3.850500106811523,3.865999937057495,632
2024-01-29,Copper,HG=F,3.872999906539917,3.872999906539917,3.872999906539917,3.839999914169312,3.839999914169312,706
2024-01-30,Copper,HG=F,3.9065001010894775,3.9065001010894775,3.9144999980926514,3.858999967575073,3.868499994277954,562
2024-01-31,Copper,HG=F,3.902499914169312,3.902499914169312,3.936000108718872,3.884999990463257,3.91100001335144,750
2024-02-01,Copper,HG=F,3.8524999618530273,3.8524999618530273,3.8954999446868896,3.8450000286102295,3.8954999446868896,695
2024-02-02,Copper,HG=F,3.821500062942505,3.821500062942505,3.849999904632568,3.821500062942505,3.849999904632568,529
2024-02-05,Copper,HG=F,3.7720000743865967,3.7720000743865967,3.805000066757202,3.766999959945679,3.805000066757202,372
2024-02-06,Copper,HG=F,3.7825000286102295,3.7825000286102295,3.7915000915527344,3.77649998664856,3.77649998664856,327
2024-02-07,Copper,HG=F,3.737499952316284,3.737499952316284,3.784499883651733,3.734999895095825,3.784499883651733,351
2024-02-08,Copper,HG=F,3.705499887466431,3.705499887466431,3.742500066757202,3.691999912261963,3.742500066757202,383
2024-02-09,Copper,HG=F,3.686000108718872,3.686000108718872,3.696500062942505,3.686000108718872,3.696500062942505,324
2024-02-12,Copper,HG=F,3.7284998893737793,3.7284998893737793,3.7284998893737793,3.720999956130981,3.720999956130981,200
2024-02-13,Copper,HG=F,3.71399998664856,3.71399998664856,3.733000040054321,3.7065000534057617,3.7314999103546143,197
2024-02-14,Copper,HG=F,3.700500011444092,3.700500011444092,3.700500011444092,3.69950008392334,3.69950008392334,359
2024-02-15,Copper,HG=F,3.756500005722046,3.756500005722046,3.757499933242798,3.7314999103546143,3.7314999103546143,273
2024-02-16,Copper,HG=F,3.838000059127808,3.838000059127808,3.8415000438690186,3.826499938964844,3.826499938964844,334
2024-02-20,Copper,HG=F,3.866499900817871,3.866499900817871,3.866499900817871,3.866499900817871,3.866499900817871,392
2024-02-21,Copper,HG=F,3.874500036239624,3.874500036239624,3.875,3.8559999465942383,3.857000112533569,358
2024-02-22,Copper,HG=F,3.8975000381469727,3.8975000381469727,3.8975000381469727,3.867000102996826,3.8965001106262207,255
2024-02-23,Copper,HG=F,3.881999969482422,3.881999969482422,3.881999969482422,3.86050009727478,3.86050009727478,462
2024-02-26,Copper,HG=F,3.8239998817443848,3.8239998817443848,3.839999914169312,3.8239998817443848,3.839999914169312,515
2024-02-27,Copper,HG=F,3.8310000896453857,3.8310000896453857,3.8310000896453857,3.819999933242798,3.819999933242798,23671
2024-02-28,Copper,HG=F,3.827500104904175,3.827500104904175,3.8324999809265137,3.801500082015991,3.830499887466431,7289
2024-02-29,Copper,HG=F,3.8345000743865967,3.8345000743865967,3.846499919891357,3.825000047683716,3.827500104904175,2054
2024-03-01,Copper,HG=F,3.8550000190734863,3.8550000190734863,3.858000040054321,3.809000015258789,3.838000059127808,1346
2024-03-04,Copper,HG=F,3.8519999980926514,3.8519999980926514,3.881500005722046,3.8434998989105225,3.8450000286102295,1136
2024-03-05,Copper,HG=F,3.8440001010894775,3.8440001010894775,3.86299991607666,3.838000059127808,3.846499919891357,929
